Id,SalePrice
1461,128770.0
1462,134200.0
1463,152460.0
1464,175630.0
1465,208315.0
1466,176735.0
1467,166220.0
1468,173499.0
1469,172606.8
1470,117620.8
1471,191549.5
1472,96045.76190476191
1473,101820.0
1474,146916.66666666666
1475,133640.0
1476,370893.1
1477,248292.8
1478,327535.2
1479,295796.3
1480,445305.2
1481,338517.6
1482,214945.6
1483,160490.0
1484,166194.0
1485,167084.0
1486,198547.8
1487,373850.0
1488,262265.7
1489,192174.1
1490,178970.0
1491,179300.0
1492,120850.0
1493,195918.5
1494,283521.2
1495,283297.2
1496,216190.0
1497,178694.0
1498,152462.26666666666
1499,151118.8
1500,149616.6
1501,173370.0
1502,156223.46666666665
1503,298191.5
1504,210813.5
1505,221267.0
1506,203550.0
1507,240600.0
1508,218940.0
1509,173185.0
1510,141810.0
1511,171000.0
1512,140650.0
1513,175190.0
1514,150157.4
1515,172370.0
1516,198307.0
1517,149250.0
1518,133281.0
1519,221800.0
1520,137300.0
1521,146205.0
1522,171330.0
1523,115165.2
1524,117788.3
1525,129395.0
1526,135290.0
1527,89090.0
1528,121970.0
1529,148425.0
1530,163550.0
1531,115323.4
1532,106893.0
1533,122145.0
1534,121300.0
1535,144810.0
1536,140430.0
1537,83650.0
1538,202750.0
1539,249387.0
1540,126738.7
1541,168690.0
1542,136243.4
1543,221630.0
1544,80700.0
1545,92040.0
1546,118729.3
1547,124600.0
1548,129245.0
1549,88612.9
1550,148280.0
1551,120268.0
1552,137350.0
1553,149425.0
1554,116385.8
1555,173770.0
1556,115100.0
1557,132605.0
1558,107970.0
1559,123330.0
1560,144272.66
1561,147540.0
1562,125700.0
1563,124550.0
1564,127530.0
1565,141729.0
1566,204258.0
1567,87970.0
1568,221150.0
1569,113693.2
1570,134050.0
1571,115790.0
1572,147485.0
1573,230576.5
1574,139860.0
1575,154010.0
1576,196350.0
1577,191500.0
1578,175565.5
1579,145850.0
1580,195200.0
1581,126470.0
1582,125430.0
1583,362360.0
1584,252650.0
1585,143266.66666666666
1586,73620.0
1587,106290.0
1588,151302.5
1589,116222.1
1590,126223.0
1591,114380.0
1592,116957.5
1593,133915.0
1594,124150.0
1595,136700.0
1596,269945.6
1597,146015.0
1598,187380.0
1599,179550.0
1600,199850.0
1601,63600.0
1602,116550.0
1603,109488.4
1604,276456.1
1605,268397.7
1606,172793.2
1607,157030.5
1608,169741.9
1609,184780.0
1610,152683.2
1611,161615.0
1612,179000.0
1613,145000.0
1614,118373.0
1615,86550.0
1616,86550.0
1617,84200.0
1618,122050.0
1619,138380.0
1620,141100.0
1621,127690.0
1622,151333.4
1623,279200.0
1624,198490.0
1625,132500.0
1626,181355.0
1627,177640.0
1628,268375.0
1629,174070.0
1630,338000.0
1631,304120.0
1632,272213.8
1633,168070.0
1634,182900.0
1635,172022.2
1636,150365.9
1637,134590.0
1638,208900.0
1639,173850.0
1640,234655.9
1641,174300.0
1642,204557.8
1643,235780.0
1644,221760.0
1645,159700.0
1646,151650.0
1647,171270.0
1648,136430.0
1649,132900.0
1650,114350.0
1651,110727.6
1652,96045.76190476191
1653,96045.76190476191
1654,155602.5
1655,159240.0
1656,147137.5
1657,155602.5
1658,147137.5
1659,133640.0
1660,138190.0
1661,457171.0
1662,406988.9
1663,368808.8
1664,442158.7
1665,332674.5
1666,304607.1
1667,347400.0
1668,331671.0
1669,306392.6
1670,337288.9
1671,255277.2
1672,485885.1
1673,302063.9
1674,275390.4
1675,184650.0
1676,187450.0
1677,187592.6
1678,439308.7
1679,351883.4
1680,333881.5
1681,278576.4
1682,317007.1
1683,178459.1
1684,186606.0
1685,169964.0
1686,186862.0
1687,168110.0
1688,189230.0
1689,184680.0
1690,191380.0
1691,165530.0
1692,273398.5
1693,165210.0
1694,171799.0
1695,174890.0
1696,249029.9
1697,175354.0
1698,362362.3
1699,337004.3
1700,254140.0
1701,267370.0
1702,275867.4
1703,266037.6
1704,277222.4
1705,379050.0
1706,442844.4
1707,196950.0
1708,181485.0
1709,324068.2
1710,242855.6
1711,229840.0
1712,265766.1
1713,234357.8
1714,221300.0
1715,203320.0
1716,181940.0
1717,168060.0
1718,150980.0
1719,195005.0
1720,232890.0
1721,165150.0
1722,129378.4
1723,141212.5
1724,197466.0
1725,219020.0
1726,195325.0
1727,182689.0
1728,198704.0
1729,155610.0
1730,153200.0
1731,137602.5
1732,123680.0
1733,122700.0
1734,122180.0
1735,118140.0
1736,119550.0
1737,343320.3
1738,193240.0
1739,292989.8
1740,166650.0
1741,159090.0
1742,178409.0
1743,180256.5
1744,277686.5
1745,268927.2
1746,269388.3
1747,197550.0
1748,233390.0
1749,138290.0
1750,158080.0
1751,224890.0
1752,125050.0
1753,153940.0
1754,236410.0
1755,159150.0
1756,112470.0
1757,124550.0
1758,132138.0
1759,163740.0
1760,141750.0
1761,153550.0
1762,159565.0
1763,176450.0
1764,131202.5
1765,184700.0
1766,181830.0
1767,199780.0
1768,142275.0
1769,177587.5
1770,133325.0
1771,145585.0
1772,149225.0
1773,140130.9
1774,140940.5
1775,128657.5
1776,103628.6
1777,108640.0
1778,121810.0
1779,104200.0
1780,179450.0
1781,144812.5
1782,71021.1
1783,136830.0
1784,84970.0
1785,125470.0
1786,177250.0
1787,165340.0
1788,63700.0
1789,120770.0
1790,70790.0
1791,195410.0
1792,146810.0
1793,151050.0
1794,139365.0
1795,140250.0
1796,98500.0
1797,129610.0
1798,132390.0
1799,114670.0
1800,107500.0
1801,121430.0
1802,178005.0
1803,181540.0
1804,122171.0
1805,131050.0
1806,117950.0
1807,165820.0
1808,122930.0
1809,145238.7
1810,153390.0
1811,133130.0
1812,129950.0
1813,111390.0
1814,105500.0
1815,54411.1
1816,98890.0
1817,112090.0
1818,150395.0
1819,113120.8
1820,86890.0
1821,135983.4
1822,168760.0
1823,88795.0
1824,146860.0
1825,117600.0
1826,85230.0
1827,108400.0
1828,135695.0
1829,132500.0
1830,179700.0
1831,190950.0
1832,140993.4
1833,144520.0
1834,104314.16666666667
1835,171767.8
1836,137198.4
1837,113245.0
